"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"1",5.52524691328903e-46,1.42564537689388,0.708,0.383,1.10504938265781e-42,"Hba-a1",0
"2",8.13259754020162e-44,1.3016944367773,0.623,0.048,1.62651950804032e-40,"Hba-a2",0
"3",3.73909367141865e-14,-0.289167919188274,0.956,0.641,7.47818734283729e-11,"Nrip3",0
"4",5.09544396430569e-09,-0.285331933049268,0.895,0.587,1.01908879286114e-05,"Abt1",0
"5",8.96347403510053e-08,-0.279673210884066,0.766,0.501,0.000179269480702011,"Jun",0
"6",3.9126011473584e-06,-0.286671756375564,0.698,0.472,0.0078252022947168,"Gzmc",0
"7",3.24180961449316e-06,-0.299496919730201,0.948,0.659,0.00648361922898632,"Gm10094",1
"8",6.68956443951538e-33,-0.351876641980275,0.968,0.448,1.33791288790308e-29,"Ccl17",2
"9",8.78879525641109e-10,0.997885412798415,0.382,0.09,1.75775905128222e-06,"Saa3",2
"10",2.1574011908007e-09,0.295873203089911,0.373,0.113,4.31480238160141e-06,"Gzma",2
"11",1.49412112847739e-08,-0.565024953102572,0.995,0.719,2.98824225695478e-05,"Lyz1",2
"12",7.26336577289939e-08,-0.339189350385904,0.995,0.946,0.000145267315457988,"Ctsb",2
"13",8.5830076546345e-08,-0.358387185991098,0.763,0.427,0.00017166015309269,"Cxcl1",2
"14",1.50401530855533e-07,-0.47787368764761,0.827,0.582,0.000300803061711066,"Ccl8",2
"15",1.13393711212762e-06,-0.273217626211591,0.939,0.896,0.00226787422425523,"Cd63",2
"16",4.73756099148311e-06,-0.35422969206546,0.953,0.884,0.00947512198296622,"C1qc",2
"17",7.36826781000233e-06,-0.293827662410483,0.972,0.931,0.0147365356200047,"Lgmn",2
"18",3.68278478135088e-13,-0.321535421770864,0.944,0.63,7.36556956270177e-10,"Calca",3
"19",1.36290213305416e-08,-0.329440659641804,0.587,0.247,2.72580426610831e-05,"Ccl1",3
"20",1.11452231259235e-06,-0.274551045810948,0.958,0.589,0.0022290446251847,"Tsc22d1",3
"21",1.60291010693479e-09,-0.341944731128317,0.876,0.512,3.20582021386957e-06,"Mmp12",4
"22",7.09007095698252e-09,-0.318924841249596,0.997,0.929,1.4180141913965e-05,"Mgl2",4
"23",1.87619060334771e-08,0.485472552639953,0.389,0.102,3.75238120669542e-05,"Saa3",4
"24",1.23690758453199e-06,-0.41953576346677,0.862,0.589,0.00247381516906398,"Hmox1",4
"25",3.88618873928593e-06,-0.940755440083582,0.94,0.618,0.00777237747857186,"Ccl17",4
"26",9.68637308193022e-14,-0.512732497013292,0.98,0.684,1.93727461638604e-10,"Lyz1",5
"27",2.4928443577389e-12,-0.450438607999106,0.974,0.625,4.98568871547779e-09,"Ccl17",5
"28",1.83152878799919e-06,-0.34464288618772,0.946,0.678,0.00366305757599837,"Hbegf",5
"29",1.80510439618743e-05,0.320722753807531,0.762,0.539,0.0361020879237486,"Hspa1a",5
"30",1.8305134013284e-07,0.298311930649665,0.396,0.64,0.00036610268026568,"Il17a",7
"31",3.9637523320492e-07,-0.257630225117895,0.792,0.472,0.00079275046640984,"Hlf",7
"32",1.58042696126665e-07,-0.254197883678383,0.837,0.547,0.000316085392253331,"Hist1h2bc",8
"33",1.5613127237741e-06,-0.265705089883171,0.913,0.572,0.00312262544754821,"Socs2",8
"34",1.9727411472872e-05,-0.274717909001897,0.957,0.565,0.039454822945744,"Tsc22d1",8
"35",1.9457994126669e-05,0.30822507057421,0.644,0.172,0.038915988253338,"Ccl20",10
"36",1.83486966683559e-05,-0.283706554313968,0.981,0.624,0.0366973933367118,"Pf4",11
"37",2.66351121526494e-07,0.643146760935211,0.949,0.546,0.000532702243052988,"Il5",12
"38",2.50246652399192e-09,-0.339267449759594,0.89,0.333,5.00493304798384e-06,"Cthrc1",13
"39",5.19176940832475e-09,-0.432575996995371,0.904,0.347,1.03835388166495e-05,"Clu",13
"40",1.21904338492909e-06,0.264188110987877,0.669,0.139,0.00243808676985818,"Mgl2",13
"41",1.1017199828562e-05,0.599844661013959,0.743,0.264,0.0220343996571239,"Chil1",13
"42",5.61171473180958e-09,-0.337484418382424,0.885,0.494,1.12234294636192e-05,"Krt2",14
"43",2.16143150942654e-06,-0.268605994073122,0.892,0.364,0.00432286301885307,"Cd27",14
"44",5.50503744125186e-06,-0.301131460000752,0.8,0.234,0.0110100748825037,"Clu",14
"45",6.36745642270537e-08,-0.312018690958173,1,0.659,0.000127349128454107,"Tnfsf11",15
"46",5.15423514339094e-06,-0.471373331278885,1,1,0.0103084702867819,"Cd74",16
"47",9.732439450197e-06,0.37009243083815,0.958,0.508,0.019464878900394,"Maf",16
"48",1.42874458942853e-08,0.349609079974175,0.767,0.065,2.85748917885706e-05,"Npl",18
"49",1.05027574727568e-06,0.430589148444293,0.167,0.239,0.00210055149455136,"Cxcl10",18
