"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cd7",6.03041617982924e-114,1.93024614376035,0.985,0.609,1.00726041451688e-109,"0","Cd7"
"Cd3g",6.41551807110401e-105,1.61650298615777,0.99,0.758,1.0715839834165e-100,"0","Cd3g"
"Trf",9.54983639145024e-104,1.68244851010878,0.955,0.448,1.59510917246393e-99,"0","Trf"
"Cd3e",6.54354239435651e-103,1.53274786393597,0.995,0.699,1.09296788612937e-98,"0","Cd3e"
"Ptp4a1",6.23420014338743e-102,1.59645086379641,0.99,0.845,1.04129844995e-97,"0","Ptp4a1"
"Fermt2",1.39873808123326e-101,1.45431383961665,0.9,0.359,2.33631221708391e-97,"0","Fermt2"
"Rgs2",2.24551180542863e-96,1.32911784987183,1,0.882,3.75067836860744e-92,"0","Rgs2"
"Rgs1",3.26243902196586e-96,1.46240287567009,0.99,0.915,5.44925189838957e-92,"0","Rgs1"
"Slc25a3",1.17249485069038e-93,1.46232307022759,1,0.95,1.95841814910815e-89,"0","Slc25a3"
"Il12rb2",2.61052982228715e-89,1.33908391763473,0.88,0.399,4.36036796216623e-85,"0","Il12rb2"
"Ctla2a",1.42903343330224e-86,1.25643983312027,0.995,0.829,2.38691454364474e-82,"0","Ctla2a"
"Myl12a",9.11477671508344e-85,0.928495421478941,0.99,0.969,1.52244115472039e-80,"0","Myl12a"
"Bpnt1",2.93803575121555e-83,1.40074363258497,0.855,0.421,4.90740111525534e-79,"0","Bpnt1"
"Crem",6.14765735443344e-82,1.42431090897861,0.995,0.953,1.02684320791102e-77,"0","Crem"
"Amd1",1.15787767653897e-80,1.37265059893192,0.94,0.578,1.93400308312304e-76,"0","Amd1"
"Usmg5",1.95252599132262e-79,1.38442233075835,0.99,0.902,3.26130416330617e-75,"0","Usmg5"
"Mest",5.52529337375954e-78,1.82417786526169,0.895,0.501,9.22889752219056e-74,"0","Mest"
"Cd3d",6.25652708346745e-77,1.21527121962075,0.965,0.648,1.04502771875157e-72,"0","Cd3d"
"Tpm4",2.02695884182115e-75,1.06949637852425,0.985,0.906,3.38562935349387e-71,"0","Tpm4"
"Prkar1a",3.6082218489895e-74,0.958452627734148,0.975,0.884,6.02681295436716e-70,"0","Prkar1a"
"Calm2",1.15825721110575e-72,1.03064857071794,0.995,0.953,1.93463701970994e-68,"0","Calm2"
"Il2rb",1.98126547738617e-72,0.990653325638253,0.965,0.787,3.30930772687812e-68,"0","Il2rb"
"Nkg7",3.64026168268616e-72,1.01751658409034,0.99,0.682,6.08032908859069e-68,"0","Nkg7"
"Ramp3",1.32016067022604e-71,1.17959447378221,0.98,0.797,2.20506436747855e-67,"0","Ramp3"
"Gnas",1.19573568725292e-69,0.861411821524052,0.99,0.946,1.99723731841856e-65,"0","Gnas"
"Tnfrsf9",6.47571120868889e-65,1.17439118366407,0.94,0.736,1.0816380431873e-60,"0","Tnfrsf9"
"Tsc22d1",2.83298450983629e-64,1.64917984698842,0.885,0.534,4.73193402677956e-60,"0","Tsc22d1"
"Avil",4.37036828780868e-64,1.24106882282322,0.69,0.268,7.29982615112684e-60,"0","Avil"
"Emd",4.52559824257362e-64,1.31781809210042,0.93,0.725,7.55910674457071e-60,"0","Emd"
"Gem",5.6828498490008e-64,1.21074251582676,0.935,0.662,9.49206410278603e-60,"0","Gem"
"Rab4a",8.41468247353011e-64,1.22127577895666,0.785,0.393,1.40550441355373e-59,"0","Rab4a"
"Cwc25",4.13812403576009e-63,1.39691570810475,0.825,0.461,6.91190857693008e-59,"0","Cwc25"
"Sytl3",6.44556386859565e-63,1.07904184907882,0.865,0.512,1.07660253297153e-58,"0","Sytl3"
"Cnbp",1.2293592773457e-62,0.734277491973156,0.985,0.94,2.05339880095051e-58,"0","Cnbp"
"Fos",1.64041955001217e-62,0.99451514540783,0.98,0.788,2.73999277438533e-58,"0","Fos"
"Cdk11b",6.02903274004733e-62,1.49511941924627,0.905,0.643,1.00702933857011e-57,"0","Cdk11b"
"Tmem123",1.77935412921876e-57,0.756471698820418,0.955,0.789,2.9720552020341e-53,"0","Tmem123"
"Ctsw",2.15246869128586e-57,1.03157135656608,0.82,0.431,3.59526845505478e-53,"0","Ctsw"
"Vps37b",2.61402102297123e-57,0.980327301800993,0.98,0.86,4.36619931466884e-53,"0","Vps37b"
"Matk",2.7414503664543e-57,1.16257557813296,0.64,0.252,4.57904454708862e-53,"0","Matk"
"Prkacb",1.13877505588293e-56,1.12931447864637,0.775,0.41,1.90209597584126e-52,"0","Prkacb"
"Ccnd2",1.35912109683523e-56,0.974763362600907,0.955,0.774,2.27013996804388e-52,"0","Ccnd2"
"Dnajb6",3.89750480426733e-56,1.16009313910568,0.925,0.824,6.51000227456772e-52,"0","Dnajb6"
"Dfna5",1.64607221435085e-55,1.22639704886228,0.705,0.329,2.74943441963023e-51,"0","Dfna5"
"Atp1b1",3.12713214227398e-55,1.14236897099518,0.69,0.307,5.22324881724022e-51,"0","Atp1b1"
"Cited2",4.18132738019811e-53,1.2455164316036,0.88,0.583,6.98407112314491e-49,"0","Cited2"
"Arpc3",1.94798167621531e-52,0.735851063582198,0.975,0.953,3.25371379378243e-48,"0","Arpc3"
"Dapk2",4.06272741891112e-51,1.20540432122201,0.65,0.279,6.78597360780725e-47,"0","Dapk2"
"Fth1",5.96658659345234e-50,0.547048909104748,1,1,9.96598958704344e-46,"0","Fth1"
"Lin54",2.29056902320295e-49,1.07296451692062,0.73,0.407,3.82593743945589e-45,"0","Lin54"
"Mpp6",6.6992596458133e-49,1.00777983943964,0.775,0.465,1.1189773386402e-44,"0","Mpp6"
"Gucy2c",2.71562920076157e-48,1.04986806653272,0.52,0.173,4.53591545403204e-44,"0","Gucy2c"
"Cntrob",3.3679329354111e-48,0.988264803581626,0.565,0.213,5.62545838201717e-44,"0","Cntrob"
"P2ry10",7.69376970879678e-48,1.03691998608445,0.87,0.647,1.28509035446033e-43,"0","P2ry10"
"Itm2c",4.47532392283344e-46,0.864915772237981,0.895,0.711,7.47513354830869e-42,"0","Itm2c"
"Ngfrap1",5.29461122810736e-46,1.11648869767264,0.785,0.528,8.84358913430772e-42,"0","Ngfrap1"
"Zc3h13",6.08678555893761e-46,1.0505310878179,0.785,0.508,1.01667579190935e-41,"0","Zc3h13"
"Scp2",8.03854535567914e-46,0.766072232346634,0.905,0.762,1.34267823075909e-41,"0","Scp2"
"Dnaja1",1.74907580245386e-44,0.778908155022698,0.95,0.905,2.92148131283868e-40,"0","Dnaja1"
"Cenpa",1.94294808684678e-44,1.04149354909029,0.795,0.556,3.24530618946018e-40,"0","Cenpa"
"Cd96",3.39768327992313e-44,0.989216113646557,0.59,0.252,5.6751503824556e-40,"0","Cd96"
"Map1b",4.95424914811792e-44,1.06565355588158,0.6,0.254,8.27508235210136e-40,"0","Map1b"
"Itk",1.00981862731197e-43,0.921193720474666,0.8,0.547,1.68670005319919e-39,"0","Itk"
"Srsf3",1.02274487060931e-43,0.858888612934118,0.92,0.837,1.70829075737874e-39,"0","Srsf3"
"Hk2",1.43847233738524e-43,1.09252536917839,0.795,0.485,2.40268034513457e-39,"0","Hk2"
"Cstb",2.01239409647414e-43,0.974079408465613,0.96,0.877,3.36130185934076e-39,"0","Cstb"
"Saraf",1.22587758458625e-42,0.840055856973183,0.94,0.841,2.04758332953441e-38,"0","Saraf"
"Sult2b1",5.94516348803338e-42,1.05418301405605,0.65,0.319,9.93020657406216e-38,"0","Sult2b1"
"Pld3",1.84862421661259e-41,0.870710014314598,0.835,0.641,3.08775702900801e-37,"0","Pld3"
"Junb",3.69583502028328e-41,0.636872458875176,1,0.982,6.17315323437916e-37,"0","Junb"
"Ppm1g",7.1129849033137e-41,0.99705636793356,0.805,0.587,1.18808186840049e-36,"0","Ppm1g"
"Anapc2",8.55154114992484e-41,1.15134828810799,0.7,0.427,1.42836391827195e-36,"0","Anapc2"
"BC031181",9.14336457294742e-41,0.877655382282799,0.86,0.697,1.52721618461941e-36,"0","BC031181"
