Cluster,IMQ1,IMQ3,IMQ6,VEH2,VEH3,VEH4
0,362,199,164,1110,979,1103
1,435,156,293,364,261,406
2,448,213,430,139,88,108
3,223,108,100,351,228,407
4,273,105,203,213,112,193
5,205,132,204,51,43,58
6,106,50,73,107,73,103
7,105,59,48,90,67,110
8,103,37,44,88,66,131
9,36,21,45,129,62,129
10,74,34,55,75,44,79
11,44,25,38,67,32,50
12,39,28,31,49,36,56
13,57,27,52,31,22,19
14,59,32,39,35,12,30
15,65,60,27,14,13,14
16,30,13,29,26,12,23
17,6,2,6,36,21,33
18,12,8,10,12,13,21
19,13,6,4,6,4,3
20,7,6,11,3,3,0
