p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster
5.53E-46,1.425645377,0.708,0.383,1.11E-42,Hba-a1,0
8.13E-44,1.301694437,0.623,0.048,1.63E-40,Hba-a2,0
3.74E-14,-0.289167919,0.956,0.641,7.48E-11,Nrip3,0
5.10E-09,-0.285331933,0.895,0.587,1.02E-05,Abt1,0
8.96E-08,-0.279673211,0.766,0.501,0.000179269,Jun,0
3.91E-06,-0.286671756,0.698,0.472,0.007825202,Gzmc,0
0.000210441,-0.332719167,0.946,0.697,0.420882159,Mt1,0
0.000223263,-0.305650324,0.836,0.571,0.446526948,Tsc22d3,0
0.008127171,-0.251051722,0.876,0.62,1,Kdm6b,0
0.035404793,-0.320609414,0.966,0.755,1,Xcl1,0
3.24E-06,-0.29949692,0.948,0.659,0.006483619,Gm10094,1
0.000365622,-0.320265775,0.976,0.73,0.731244483,5430421N21Rik,1
0.00044636,-0.357923938,0.903,0.769,0.892720688,Gm12840,1
0.001423311,-0.269319717,0.965,0.765,1,Tnfsf11,1
0.001425422,-0.284167314,0.971,0.665,1,Plaur,1
0.001507828,-0.331126875,0.989,0.888,1,Sfn,1
0.003872615,-0.253723347,0.897,0.675,1,Cd163l1,1
0.007616996,-0.297029583,0.951,0.72,1,Rrad,1
0.018142661,-0.276098002,0.997,0.938,1,Cstb,1
0.022461806,-0.283444125,0.992,0.775,1,Cebpb,1
6.69E-33,-0.351876642,0.968,0.448,1.34E-29,Ccl17,2
8.79E-10,0.997885413,0.382,0.09,1.76E-06,Saa3,2
2.16E-09,0.295873203,0.373,0.113,4.31E-06,Gzma,2
1.49E-08,-0.565024953,0.995,0.719,2.99E-05,Lyz1,2
7.26E-08,-0.33918935,0.995,0.946,0.000145267,Ctsb,2
8.58E-08,-0.358387186,0.763,0.427,0.00017166,Cxcl1,2
1.50E-07,-0.477873688,0.827,0.582,0.000300803,Ccl8,2
1.13E-06,-0.273217626,0.939,0.896,0.002267874,Cd63,2
4.74E-06,-0.354229692,0.953,0.884,0.009475122,C1qc,2
7.37E-06,-0.293827662,0.972,0.931,0.014736536,Lgmn,2
3.68E-13,-0.321535422,0.944,0.63,7.37E-10,Calca,3
1.36E-08,-0.32944066,0.587,0.247,2.73E-05,Ccl1,3
1.11E-06,-0.274551046,0.958,0.589,0.002229045,Tsc22d1,3
0.000441332,-0.283311995,0.754,0.544,0.882663499,Cxcl2,3
0.000457789,-0.288867466,0.942,0.7,0.915578625,Rrad,3
0.018194888,-0.269690481,0.954,0.628,1,Cd7,3
0.237085168,-0.312614097,0.677,0.617,1,Il13,3
0.282903309,-0.302566271,0.998,0.996,1,Actb,3
0.647982065,-0.256928428,0.979,0.846,1,Fgl2,3
1.60E-09,-0.341944731,0.876,0.512,3.21E-06,Mmp12,4
7.09E-09,-0.318924841,0.997,0.929,1.42E-05,Mgl2,4
1.88E-08,0.485472553,0.389,0.102,3.75E-05,Saa3,4
1.24E-06,-0.419535763,0.862,0.589,0.002473815,Hmox1,4
3.89E-06,-0.94075544,0.94,0.618,0.007772377,Ccl17,4
5.63E-05,-0.60267959,0.923,0.604,0.112670667,Lyz1,4
0.000154166,-0.254779197,0.756,0.475,0.308331464,Apod,4
0.004476993,-0.250993649,0.988,0.923,1,Sdc4,4
0.016627688,-0.301847453,0.89,0.608,1,Ear2,4
0.022145805,-0.461401973,0.991,0.902,1,Mt1,4
9.69E-14,-0.512732497,0.98,0.684,1.94E-10,Lyz1,5
2.49E-12,-0.450438608,0.974,0.625,4.99E-09,Ccl17,5
1.83E-06,-0.344642886,0.946,0.678,0.003663058,Hbegf,5
1.81E-05,0.320722754,0.762,0.539,0.036102088,Hspa1a,5
3.13E-05,-0.259771418,1,1,0.062697465,Ifitm2,5
0.000115375,-0.388235163,1,0.98,0.230749547,Ifitm3,5
0.000298745,-0.412380589,0.989,0.974,0.597489037,Cd14,5
0.003595924,-0.2798797,0.961,0.908,1,Lst1,5
0.003681321,-0.449195421,0.994,0.98,1,Il1b,5
0.010063624,-0.259471495,0.956,0.954,1,Ier3,5
